,player,wins,losses,matches,win_pct
304,Aleksandre Metreveli,1,2.0,3.0,0.3333333333333333
305,Khumoun Sultanov,1,0.0,1.0,1.0
306,Elliot Benchetrit,1,4.0,5.0,0.2
307,Anthony Jackie Tang,1,0.0,1.0,1.0
308,Tatsuma Ito,1,5.0,6.0,0.16666666666666666
309,Edris Fetisleam,1,0.0,1.0,1.0
310,Kacper Zuk,1,1.0,2.0,0.5
311,Palaphoom Kovapitukted,1,2.0,3.0,0.3333333333333333
312,David Agung Susanto,1,1.0,2.0,0.5
313,Marcelo Arevalo,1,3.0,4.0,0.25
314,Roberto Cid,1,3.0,4.0,0.25
315,Adrian Ungur,1,2.0,3.0,0.3333333333333333
316,Calvin Hemery,1,5.0,6.0,0.16666666666666666
317,Jurij Rodionov,1,7.0,8.0,0.125
318,Jirat Navasirisomboon,1,3.0,4.0,0.25
319,Nino Serdarusic,1,3.0,4.0,0.25
320,Christian Harrison,1,2.0,3.0,0.3333333333333333
321,Amine Ahouda,1,2.0,3.0,0.3333333333333333
322,Andrey Kuznetsov,1,1.0,2.0,0.5
323,Jonathan Mridha,1,1.0,2.0,0.5
324,Roman Safiullin,1,1.0,2.0,0.5
325,Duck Hee Lee,1,1.0,2.0,0.5
326,Peter Bothwell,1,1.0,2.0,0.5
327,Cristian Rodriguez,1,0.0,1.0,1.0
328,Quentin Halys,1,6.0,7.0,0.14285714285714285
329,Tung Lin Wu,1,1.0,2.0,0.5
330,Francisco Llanes,1,0.0,1.0,1.0
331,Daniel Cukierman,1,0.0,1.0,1.0
332,Vincent Millot,1,1.0,2.0,0.5
333,Christopher O'Connell,1,2.0,3.0,0.3333333333333333
334,M Abid Ali Khan Akbar,1,0.0,1.0,1.0
335,Thomaz Bellucci,1,5.0,6.0,0.16666666666666666
336,Sharmal Dissanayake,1,0.0,1.0,1.0
337,Jeson Patrombon,1,2.0,3.0,0.3333333333333333
338,Gian Marco Moroni,1,1.0,2.0,0.5
339,Luis David Martinez,1,0.0,1.0,1.0
340,Takanyi Garanganga,1,2.0,3.0,0.3333333333333333
341,Zhe Li,1,6.0,7.0,0.14285714285714285
342,Constant Lestienne,1,4.0,5.0,0.2
343,Steven Diez,1,1.0,2.0,0.5
344,Maxime Cressy,1,1.0,2.0,0.5
345,Daniel Michalski,1,0.0,1.0,1.0
346,Christopher Diaz Figueroa,1,1.0,2.0,0.5
347,Cem Ilkel,1,8.0,9.0,0.1111111111111111
348,Thiemo De Bakker,1,3.0,4.0,0.25
349,Filip Horansky,1,7.0,8.0,0.125
350,Hong Kit Jack Wong,1,1.0,2.0,0.5
351,Daniel Brands,1,2.0,3.0,0.3333333333333333
352,Borna Gojo,1,3.0,4.0,0.25
353,Kevin King,1,3.0,4.0,0.25
354,Dragos Dima,1,0.0,1.0,1.0
