,player,wins,losses,matches,win_pct
190,Gerald Melzer,4,6.0,10.0,0.4
191,Brayden Schnur,4,10.0,14.0,0.2857142857142857
192,Juan Pablo Varillas,4,3.0,7.0,0.5714285714285714
193,Rudolf Molleker,4,8.0,12.0,0.3333333333333333
194,Ernesto Escobedo,4,10.0,14.0,0.2857142857142857
195,Hady Habib,4,0.0,4.0,1.0
196,Joao Domingues,4,5.0,9.0,0.4444444444444444
197,Yuki Bhambri,4,10.0,14.0,0.2857142857142857
198,Donald Young,3,14.0,17.0,0.17647058823529413
199,Brandon Nakashima,3,2.0,5.0,0.6
200,Sebastian Ofner,3,5.0,8.0,0.375
201,Adrian Menendez Maceiras,3,7.0,10.0,0.3
202,Renzo Olivo,3,2.0,5.0,0.6
203,Yibing Wu,3,6.0,9.0,0.3333333333333333
204,Peter Polansky,3,14.0,17.0,0.17647058823529413
205,Mohamed Safwat,3,6.0,9.0,0.3333333333333333
206,Aqeel Khan,3,1.0,4.0,0.75
207,Go Soeda,3,5.0,8.0,0.375
208,Ricardo Rodriguez,3,1.0,4.0,0.75
209,Roberto Quiroz,3,3.0,6.0,0.5
210,Pedro Cachin,3,3.0,6.0,0.5
211,Luis Patino,3,2.0,5.0,0.6
212,Alejandro Tabilo,3,3.0,6.0,0.5
213,Jose Rubin Statham,3,2.0,5.0,0.6
214,Santiago Giraldo,3,7.0,10.0,0.3
215,Gerardo Lopez Villasenor,3,3.0,6.0,0.5
216,Ricardo Ojeda Lara,3,3.0,6.0,0.5
217,Harri Heliovaara,2,4.0,6.0,0.3333333333333333
218,Nikola Milojevic,2,2.0,4.0,0.5
219,Zhizhen Zhang,2,4.0,6.0,0.3333333333333333
220,Frederik Nielsen,2,1.0,3.0,0.6666666666666666
221,Benjamin Lock,2,1.0,3.0,0.6666666666666666
222,Tallon Griekspoor,2,7.0,9.0,0.2222222222222222
223,Nicola Kuhn,2,3.0,5.0,0.4
224,Chun Hsin Tseng,2,3.0,5.0,0.4
225,Mitchell Krueger,2,5.0,7.0,0.2857142857142857
226,J.J. Wolf,2,3.0,5.0,0.4
227,Viktor Galovic,2,5.0,7.0,0.2857142857142857
228,Altug Celikbilek,2,2.0,4.0,0.5
229,Kimmer Coppejans,2,5.0,7.0,0.2857142857142857
230,Yosuke Watanuki,2,3.0,5.0,0.4
231,Franko Skugor,2,5.0,7.0,0.2857142857142857
232,Carlos Taberner,2,4.0,6.0,0.3333333333333333
233,Dmitry Popko,2,2.0,4.0,0.5
234,Alberto Lim,2,0.0,2.0,1.0
235,Ze Zhang,2,4.0,6.0,0.3333333333333333
236,Alessandro Giannessi,2,3.0,5.0,0.4
237,Dustin Brown,2,5.0,7.0,0.2857142857142857
238,Jose Hernandez,2,2.0,4.0,0.5
239,Jurgen Melzer,2,0.0,2.0,1.0
240,Adam Pavlasek,2,1.0,3.0,0.6666666666666666
241,Blaz Kavcic,2,9.0,11.0,0.18181818181818182
242,Jay Clarke,2,6.0,8.0,0.25
