,year,score,round,minutes,p1name,p1age,p1ace,p1rank,p1_win_pct,p1_win_pct_hsf,p2name,p2age,p2ace,p2rank,p2_win_pct,p2_win_pct_hsf,p1won,p2won
58,2019,6-3 6-4 4-6 6-0,R32,142.0,Denis Shapovalov,19.7508555784,6.0,27.0,0.5632911392405063,0.5916666666666667,Novak Djokovic,31.6495550992,5.0,1.0,0.8430232558139535,0.8421052631578947,0,1
59,2010,6-1 6-1 6-2,R128,97.0,Kevin Anderson,23.671457905500002,2.0,148.0,0.6734693877551021,0.6986301369863014,Andy Murray,22.6803559206,9.0,4.0,0.5833333333333334,0.6060606060606061,0,1
60,2013,4-6 6-3 7-6(2) 6-0,R32,145.0,Ivan Dodig,28.0328542094,9.0,74.0,0.46,0.47,Richard Gasquet,26.5763175907,11.0,10.0,0.5636363636363636,0.5454545454545454,0,1
61,2020,6-2 6-4 6-3,R64,112.0,Marc Polmans,22.7186858316,2.0,133.0,0.2857142857142857,0.2857142857142857,Dusan Lajovic,29.5578370979,12.0,27.0,0.4715447154471545,0.42105263157894735,0,1
62,2011,7-6(4) 6-2 6-3,R32,155.0,Gael Monfils,24.3778234086,3.0,12.0,0.6428571428571429,0.7108433734939759,Stan Wawrinka,25.8069815195,11.0,19.0,0.5943396226415094,0.6329113924050633,0,1
63,2020,3-6 4-6 6-1 6-2 6-3,R128,201.0,Mackenzie McDonald,24.7638603696,6.0,129.0,0.4074074074074074,0.38461538461538464,Daniel Evans,29.661875427800002,2.0,32.0,0.5142857142857142,0.5517241379310345,0,1
64,2017,6-3 6-2 6-4,QF,132.0,David Goffin,26.1108829569,6.0,11.0,0.59375,0.5783132530120482,Grigor Dimitrov,25.6728268309,8.0,15.0,0.5504587155963303,0.5714285714285714,0,1
65,2010,6-1 7-5 6-1,R128,121.0,Horacio Zeballos,24.7282683094,7.0,50.0,0.44,0.375,Philipp Kohlschreiber,26.2587268994,10.0,26.0,0.4747474747474748,0.4901960784313725,0,1
66,2011,6-2 7-6(3) 6-2,R32,124.0,Richard Gasquet,24.5831622177,10.0,33.0,0.5636363636363636,0.5454545454545454,Tomas Berdych,25.3333333333,9.0,6.0,0.5454545454545454,0.6388888888888888,0,1
67,2011,6-1 6-1 6-3,R128,84.0,Lukas Lacko,23.2060232717,3.0,97.0,0.3870967741935484,0.3043478260869565,Roger Federer,29.4428473648,8.0,2.0,0.8320000000000001,0.8181818181818182,0,1
68,2017,6-4 4-6 6-2 6-3,R128,145.0,Adam Pavlasek,22.2751540041,13.0,86.0,0.6666666666666666,0.47,Andrew Whittington,23.4332648871,12.0,194.0,0.55,0.56,0,1
69,2016,7-6 3-6 6-7 7-5 6-2,R64,253.0,Renzo Olivo,23.843942505100003,8.0,174.0,0.6,0.47,Federico Delbonis,25.28678987,13.0,53.0,0.40963855421686746,0.21052631578947367,0,1
70,2012,6-1 6-1 1-0 RET,R16,49.0,Mikhail Kukushkin,24.0574948665,0.0,92.0,0.4571428571428571,0.4722222222222222,Andy Murray,24.6735112936,4.0,4.0,0.5833333333333334,0.6060606060606061,0,1
71,2011,6-4 6-3 7-6(5),R128,148.0,Carlos Berlocq,27.953456536599997,4.0,67.0,0.1111111111111111,0.47,Robin Haase,23.783709787800003,4.0,62.0,0.4395604395604396,0.4736842105263158,0,1
72,2016,6-2 6-3 6-2,R128,90.0,Jordan Thompson,21.7467488022,2.0,143.0,0.4634146341463415,0.4642857142857143,Thomaz Bellucci,28.052019165,3.0,37.0,0.16666666666666666,0.56,0,1
73,2018,6-2 6-3 6-3,R32,141.0,Albert Ramos,29.9958932238,3.0,22.0,0.4796747967479675,0.3636363636363637,Novak Djokovic,30.6529774127,2.0,14.0,0.8430232558139535,0.8421052631578947,0,1
74,2014,6-7(3) 6-4 6-2 6-0,R128,171.0,Sergiy Stakhovsky,28.019164955500003,14.0,82.0,0.3333333333333333,0.3636363636363637,Teymuraz Gabashvili,28.643394935,5.0,79.0,0.55,0.56,0,1
75,2020,6-4 6-4 7-6(3),R128,121.0,Miomir Kecmanovic,20.3887748118,7.0,54.0,0.5416666666666666,0.5192307692307693,Andreas Seppi,35.9123887748,10.0,85.0,0.4854368932038835,0.546875,0,1
76,2011,6-1 6-3 4-6 6-3,R64,162.0,Juan Martin del Potro,22.3162217659,9.0,236.0,0.7638888888888888,0.7916666666666666,Marcos Baghdatis,25.5852156057,15.0,22.0,0.4571428571428571,0.5384615384615384,0,1
77,2018,6-4 6-2 7-6(2),R64,128.0,Tim Smyczek,30.045174538,8.0,131.0,0.3181818181818182,0.3076923076923077,Albert Ramos,29.9958932238,6.0,22.0,0.4796747967479675,0.3636363636363637,0,1
78,2018,7-6(1) 6-3 6-4,QF,134.0,Tomas Berdych,32.3285420945,4.0,20.0,0.5454545454545454,0.6388888888888888,Roger Federer,36.438056125900005,15.0,2.0,0.8320000000000001,0.8181818181818182,0,1
79,2018,6-2 6-2 6-4,R64,89.0,Denis Istomin,31.356605065,4.0,60.0,0.3461538461538461,0.2962962962962963,Kyle Edmund,23.019849418200003,9.0,49.0,0.5478260869565217,0.56,0,1
80,2016,6-4 6-7 6-4 7-5,R128,201.0,Ivan Dodig,31.041752224499998,10.0,78.0,0.46,0.47,Quentin Halys,19.227926078,13.0,187.0,0.14285714285714285,0.16666666666666666,0,1
81,2017,6-1 4-6 6-4 6-4,R32,143.0,Benoit Paire,27.693360711799997,10.0,47.0,0.5035971223021583,0.4725274725274725,Dominic Thiem,23.370294319,10.0,8.0,0.7305389221556886,0.7173913043478259,0,1
82,2012,6-4 4-2 RET,R128,67.0,Jarkko Nieminen,30.4832306639,3.0,49.0,0.46,0.47,David Nalbandian,30.0396988364,3.0,87.0,0.55,0.56,0,1
83,2019,6-1 6-1 7-6(5),R16,119.0,Alexander Zverev,21.735797399000003,6.0,4.0,0.7039106145251397,0.7024793388429752,Milos Raonic,28.0492813142,15.0,17.0,0.6756756756756757,0.6385542168674698,0,1
84,2020,6-7(8) 7-6(1) 6-4 7-6(5),R128,207.0,Mohamed Safwat,29.3360711841,10.0,173.0,0.3333333333333333,0.16666666666666666,Gregoire Barrere,25.9247091034,17.0,84.0,0.35714285714285715,0.3809523809523809,0,1
